catalog_record_id,object_name,source_id,spectral_type,ra_deg,dec_deg,l_deg,b_deg,parallax,parallax_error,pmra,pmdec,ruwe,visibility_periods_used,phot_bp_rp_excess_factor,quality_pass,zero_point_boundary_flag,membership_probability,membership_probability_astrometric,membership_probability_mc_se,membership_basis,recovered_p_gt_0_5,gate_disposition_reason
24,A46,2067788713055642880,,307.75085,40.83047,79.58335096665265,0.8420579719240922,0.6028522771745709,0.012084545,-4.7761727731603845,-6.6451020898084385,1.1771246,28.0,1.3228644,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
25,BD+404212,2067826062091598976,,307.90627,41.2225,79.96900522316861,0.979008941470651,0.6323709896819155,0.019161496,-2.2374973976212558,-4.0239418738426185,1.4526988,27.0,1.376187,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.453 >= 1.4
26,Cyg8D,2067785002204178688,,308.31807,41.31719,80.22887200085766,0.786015284117074,0.5935602767212168,0.014314305,-2.612459852936183,-4.708779330510602,0.9774877,27.0,1.3353331,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
27,Cyg6,2067833243277076864,,308.18937,41.42709,80.25983474057536,0.9290143016768888,0.5438478896599409,0.016428724,-2.66328420987535,-4.014363078660036,1.5271913,26.0,1.301043,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.527 >= 1.4
28,ALS15134,2067780054401820544,,308.36148,41.18318,80.14061819447575,0.6800086518444827,0.5852156246504399,0.015963698,-2.7087953694989793,-4.8108485545606365,1.1695955,28.0,1.4004794,True,False,0.9999,0.9999,9.999499987498824e-05,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
29,Cyg25A,2067928110513529216,,308.35652,41.5575,80.4390146909113,0.9058954475040737,0.5881666120746761,0.026333837,-2.1040839294000846,-3.516604533373483,1.4387772,28.0,1.7060407,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.439 >= 1.4
30,Cyg15,2067834926904094848,,308.11523,41.43946,80.23679041337581,0.9810914664494501,0.577484147863294,0.010548543,-2.243444912812822,-4.2824388296456455,1.0266393,27.0,1.2914932,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
31,A38,2067769609040987648,,308.14527,40.93815,79.846655728494,0.6654053423195112,0.5804730734516459,0.015720766,-2.6894247612542017,-5.123734701062748,1.1750752,25.0,1.4086398,True,False,0.9338,0.9338,0.002486313737242346,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
32,A18,2068008164405551104,,307.53282,41.39734,79.94481419491979,1.3086663360866324,0.5993253153191026,0.019758508,-2.9342052293597045,-4.287879472839255,1.19231,28.0,1.4730792,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
33,Cyg17,2067832968398974208,,308.2084,41.39575,80.24308427754526,0.8989113479648353,0.5587649567036118,0.01424041,-3.1660281943479878,-5.140079644886708,1.2741537,26.0,1.3205869,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
34,ALS15111,2067832624801783040,,308.24657,41.40708,80.26922266576308,0.882619366297193,0.5802368301776495,0.014366797,-2.7462025237375287,-4.537904296138939,0.99866885,25.0,1.319338,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
35,J20330292+4117431,2067784516868550016,,308.26214,41.29532,80.18629786551662,0.8067804596017314,0.5481603062440719,0.015612495,-2.6623372775002974,-4.62500069887259,1.0085413,26.0,1.4140999,True,False,0.9983,0.9983,0.00041195994950966224,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
36,ALS15115,2067785208362826112,,308.32515,41.36018,80.26658521485551,0.8073353938432861,0.5454420359541686,0.03049498,-2.8280068250553887,-5.01246910195942,2.0287082,25.0,1.3454251,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.029 >= 1.4
37,J20333030+4135578,2067929794140714752,,308.37632,41.59941,80.48164952768929,0.9189664801446858,0.7805027143693856,0.035847276,-3.209480141412945,-4.062919995803938,2.1545663,28.0,1.4065751,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.155 >= 1.4
38,Cyg24,2067783799613328128,,308.32284,41.28593,80.20588541583722,0.764530498403036,0.5669907308001132,0.03420075,-2.795154841956856,-4.337963666351856,2.292429,26.0,1.3598913,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=2.292 >= 1.4
39,Schulte73,2067862414694092544,,308.59138,41.28379,80.32452695751387,0.6012764971455258,0.588728111390487,0.02778879,-2.1575592256510223,-4.311961554534468,1.7729348,26.0,1.3981481,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.773 >= 1.4
40,BD+404179,2067398416488472704,,306.93173,40.59542,79.0288452058898,1.207220746354182,0.503446644125548,0.012450003,-2.0027531616990615,-4.715899981158195,0.9992568,27.0,1.2120091,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
41,J20291617+4057371,2067807885789820160,,307.31739,40.96033,79.49571920199,1.183444539246028,0.5189686993087811,0.01669363,-3.3792633162323766,-4.653570326904081,1.1492738,27.0,1.4422096,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
42,J20275292+4144067,2068074620437883520,,306.97054,41.7352,79.97256709721046,1.8475205035158384,0.5553894880573521,0.01620632,-2.893999012894281,-4.56525000251457,1.0459957,27.0,1.4019498,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
43,Cyg22C,2067781905528395776,,308.29002,41.21684,80.1356613541596,0.7432514236434294,0.5732886930108781,0.02004112,-2.91025066596274,-4.690124404018299,1.360125,26.0,1.4123589,True,False,0.9972,0.9972,0.0005284089325512983,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
44,A32,2067726006532873728,,308.1263,40.5759,79.54656398377078,0.46197388921250016,0.5532375378226297,0.019925307,-3.039579491610907,-4.470414363923981,1.1274977,28.0,1.4419992,True,False,0.9998,0.9998,0.0001414072133945005,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
45,Cyg14,2067835614098871040,,308.06901,41.42657,80.20585669165958,1.0013470029134162,0.5550735506770682,0.014045185,-2.3263798824697286,-4.77901574189025,1.2894744,28.0,1.3037823,True,False,0.9005,0.9005,0.0029933217334593355,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
46,ALS5119,2067781016474500864,,280.56905,-15.85579,80.22932595376892,0.7058496698409281,0.5464876306465933,0.02007747,-2.3869955579163955,-4.2155958906710485,1.4302863,28.0,1.3736501,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.430 >= 1.4
47,ALS5125,2067887802243913216,,281.21926,-14.35312,80.53127652156239,0.8036565789781529,0.5941503921962842,0.011368206,-2.554503857384547,-4.030278649862286,1.1149899,28.0,1.3511505,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
48,Cyg23,2067785070923661440,,308.31545,41.3381,80.2445127818779,0.8000418037721538,0.5997564283696426,0.011620089,-2.633941823056917,-4.366341821769217,1.0278854,28.0,1.3365995,True,False,1.0,1.0,0.0,full_covariance_astrometric_mixture,True,recovered automatically by 10000-draw full-covariance cluster-field posterior
49,J20272428+4115458,2067642233192106624,,306.85117,41.26272,79.53615314596796,1.645166088706646,0.5590009454481559,0.02509527,-3.2481786205583316,-4.421226574891692,1.8684046,26.0,1.2983767,False,False,1.0,,,Berlanas2019_spectroscopic_member_manual_quality_exception,True,manual spectroscopic quality exception: RUWE=1.868 >= 1.4
50,J20293480+4120089,2068007034832335104,,307.395,41.33582,79.83424373320072,1.3562619767007238,0.5885806923200071,0.015312746,-3.6194119807246086,-4.1731547936232305,1.1783516,27.0,1.4415983,,,,,,,False,missed automatically: posterior below the P>0.05 soft-output floor
