subgroup,family,R_V,alpha,wp4_ums_map_Myr,wp4_ums_lo68_Myr,wp4_ums_hi68_Myr,wp5_fitted_posterior_mean_Myr,wp5_fitted_posterior_map_Myr,age_shift_Myr,top_node_Myr,top_node_posterior_weight,top_two_nodes_posterior_weight,turnoff_at_ums_map_Msun,turnoff_at_fitted_Msun,sn_per_k_at_ums_map,sn_per_k_at_fitted,sn_ratio_fitted_over_ums
CygOB2-B,PARSEC,3.5,2.6,2.8183829312644537,2.799329740300911,3.2528962221315054,3.304058643828368,3.514515732239489,0.4856757125639142,3.514515732239489,0.5306847046580189,0.6995095386795972,150.00000000000034,86.77184410914438,0.0,0.00020027934000664552,
CygOB2-C,PARSEC,3.5,2.0,1.9952623149688795,1.8950009334115765,2.1505417793007617,2.121881154880517,2.1463201979659194,0.12661883991163747,2.2440352080225243,0.2704385853296147,0.56992810528943,300.0000000000001,300.0000000000001,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.3,1.9952623149688795,1.8950009334115765,2.1505417793007617,2.106300656599685,2.1463201979659194,0.11103834163080539,2.2440352080225243,0.220917593866826,0.48950967702765646,300.0000000000001,300.0000000000001,0.0,0.0,
CygOB2-C,PARSEC,3.5,2.6,1.9952623149688795,1.8950009334115765,2.1505417793007617,2.0892369394181953,2.1463201979659194,0.09397462444931581,2.2440352080225243,0.1723940811501296,0.4017355259719589,300.0000000000001,300.0000000000001,0.0,0.0,
CygOB2-A,MIST,3.0,2.0,4.008667176273027,3.98164699065708,4.12813913328888,4.066640045195499,4.079483084047977,0.05797286892247211,4.200072939510916,0.16433141368897672,0.3155047503163181,58.552569546137725,56.98579397109237,0.008745336445830311,0.00921489983697711,1.0536930047294728
CygOB2-A,MIST,3.0,2.3,4.008667176273027,3.98164699065708,4.12813913328888,4.05840547153787,4.079483084047977,0.049738295264842414,4.200072939510916,0.14247651117346663,0.28027023772761817,58.552569546137725,57.20440787427453,0.002350301149183255,0.0024694327506136924,1.050687802910634
CygOB2-A,MIST,3.0,2.6,4.008667176273027,3.98164699065708,4.12813913328888,4.04937187485349,4.079483084047977,0.04070469858046266,4.200072939510916,0.11954295687515108,0.241736988556732,58.552569546137725,57.44571321999916,0.0006339815192659396,0.0006627725274786179,1.0454130086410314
CygOB2-B,MIST,3.0,2.0,4.008667176273027,3.547536159536042,4.066893110651612,4.034442337834766,4.101950819467165,0.025775161561738535,4.101950819467165,0.22033472765582385,0.3893451853155414,58.552569546137725,57.84793736970621,0.008745336445830311,0.008953367722384512,1.0237876813365354
CygOB2-B,MIST,3.0,2.3,4.008667176273027,3.547536159536042,4.066893110651612,4.027587224818488,4.101950819467165,0.018920048545460588,4.101950819467165,0.20013382057479243,0.3687570812791922,58.552569546137725,58.03406891079121,0.002350301149183255,0.002395365897935819,1.019174031705777
CygOB2-B,MIST,3.0,2.6,4.008667176273027,3.547536159536042,4.066893110651612,4.017129337042175,4.101950819467165,0.008462160769147964,4.101950819467165,0.17817007287059983,0.34499357043512235,58.552569546137725,58.31979336312699,0.0006339815192659396,0.0006399185387577175,1.0093646570307793
CygOB2-C,MIST,3.0,2.0,3.1805336883295205,2.9136345098195697,3.2126089414930616,3.124852706719591,3.211736911887291,-0.055680981609929514,3.2319213818616643,0.123375111751816,0.25391863586622204,69.04517830438229,70.3221378299341,0.006149937252073065,0.0058869396967384125,0.9572357335441106
CygOB2-C,MIST,3.0,2.3,3.1805336883295205,2.9136345098195697,3.2126089414930616,3.065937430973663,2.9208906952728775,-0.11459625735585766,3.2319213818616643,0.08862119409536859,0.1717327146589013,69.04517830438229,71.72473966370231,0.0016029214154577814,0.001451892842090579,0.9057791779991474
CygOB2-C,MIST,3.0,2.6,3.1805336883295205,2.9136345098195697,3.2126089414930616,2.9670734142310606,2.752935093259349,-0.2134602740984599,3.2319213818616643,0.04783598646116627,0.08662412893917137,69.04517830438229,74.20598547664792,0.0004187198192812101,0.0003410199460632174,0.8144346896419301
CygOB2-A,MIST,3.1,2.0,4.008667176273027,3.983984461652247,4.122407670743414,4.051480157857198,4.076085812142726,0.042812981584170906,4.190890575796569,0.13418039227448786,0.24093816792842176,58.552569546137725,57.389257707897364,0.008745336445830311,0.009091530481596085,1.0395861311809034
CygOB2-A,MIST,3.1,2.3,4.008667176273027,3.983984461652247,4.122407670743414,4.049864048127031,4.076085812142726,0.04119687185400345,4.190890575796569,0.129286365737168,0.24486090823513096,58.552569546137725,57.43252622777237,0.002350301149183255,0.002448822422782173,1.0419185744061583
CygOB2-A,MIST,3.1,2.6,4.008667176273027,3.983984461652247,4.122407670743414,4.048261784109597,4.119315408991108,0.03959460783656965,4.190890575796569,0.12463358655742655,0.24928233934857966,58.552569546137725,57.47547332465903,0.0006339815192659396,0.0006619795292361392,1.0441621863088648
CygOB2-B,MIST,3.1,2.0,4.008667176273027,3.4685414691494914,4.035547932022008,4.0164322949885936,4.034817125168542,0.007765118715566288,4.05173277676254,0.20676284605371664,0.43500908487109713,58.552569546137725,58.338913984922144,0.008745336445830311,0.008807883938185516,1.0071520967480934
CygOB2-B,MIST,3.1,2.3,4.008667176273027,3.4685414691494914,4.035547932022008,4.01022315303331,4.05173277676254,0.0015559767602830732,4.05173277676254,0.20508568296696003,0.3977851399163349,58.552569546137725,58.50966141310552,0.002350301149183255,0.002353995601368102,1.0015719058751813
CygOB2-B,MIST,3.1,2.6,4.008667176273027,3.4685414691494914,4.035547932022008,4.000439961138496,4.05173277676254,-0.008227215134531285,4.05173277676254,0.2000872926617658,0.357127639734349,58.552569546137725,58.72419475273699,0.0006339815192659396,0.0006296433211907962,0.9931572168220827
