subgroup,family,R_V,age_fit_Myr,age_isochrone_Myr,primary_mass,n_injected,n_query,n_quality,n_cmd_ready,n_membership,n_recovered,query_fraction,quality_fraction,cmd_ready_fraction,membership_fraction,recovery_fraction,recovery_wilson95_lo,recovery_wilson95_hi,recovery_isotonic
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,7.5,400,400,371,371,350,350,1.0,0.9275,0.9275,0.875,0.875,0.8389801748486139,0.9038853447016257,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,7.75,400,398,362,362,345,345,0.995,0.905,0.905,0.8625,0.8625,0.825287326885749,0.8928160086794825,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,8.0,400,398,346,346,337,337,0.995,0.865,0.865,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,8.5,400,400,354,354,337,337,1.0,0.885,0.885,0.8425,0.8425,0.8035644342063322,0.8749194069828867,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,9.0,400,399,345,345,333,333,0.9975,0.8625,0.8625,0.8325,0.8325,0.7927791128508475,0.8658949811503649,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,9.5,400,400,344,344,327,327,1.0,0.86,0.86,0.8175,0.8175,0.7766862383008183,0.8522732349183845,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,10.0,400,398,322,322,312,312,0.995,0.805,0.805,0.78,0.78,0.7368461708224374,0.8178267504417416,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,10.5,400,398,326,326,310,310,0.995,0.815,0.815,0.775,0.775,0.7315721378719925,0.8131959097981832,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,11.0,400,399,327,327,321,321,0.9975,0.8175,0.8175,0.8025,0.8025,0.7606869088608799,0.8385579435763133,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,11.5,400,400,327,327,316,316,1.0,0.8175,0.8175,0.79,0.79,0.7474197657946615,0.8270629026575238,0.823173076923077
CygOB2-B,PARSEC,3.1,2.8183829312644537,2.818382931264455,12.0,400,400,320,320,309,309,1.0,0.8,0.8,0.7725,0.7725,0.7289382239883379,0.8108773868848361,0.823173076923077
