subgroup,family,R_V,alpha,k_median,turnoff_prior_mean_Msun,predicted_true_living,predicted_observed_living,effective_completeness,observed_living,closure_ratio,closure_ratio_lo68,closure_ratio_hi68,shortfall
CygOB2-B,MIST,3.1,2.0,1129.7352160785933,61.88780538104223,122.55810451092269,106.78379189975715,0.8712911506414519,78.4266015625,0.7344429352735727,0.6893512241661347,0.7842598378252332,28.35719033725715
CygOB2-B,MIST,3.1,2.3,1611.6774792636425,61.88780538104223,77.22807686815081,70.44454175617473,0.9121623198832542,78.4266015625,1.1133098407248225,1.0413412334023937,1.1904478418410096,-7.9820598063252675
CygOB2-B,MIST,3.1,2.6,2237.0349026936137,61.88780538104223,48.3972410273039,46.60114716574431,0.962888507207543,78.4266015625,1.6829328532098888,1.5669808813225694,1.8100394767699677,-31.82545439675569
CygOB2-C,MIST,3.1,2.0,1210.2559860740394,69.80642667096501,133.31043701841682,104.3161771598363,0.7825057024261727,104.360986328125,1.0004295514800168,0.9380371215093949,1.0666832349032753,-0.04480916828869397
CygOB2-C,MIST,3.1,2.3,1762.4409024318318,69.80642667096501,85.31401372443405,69.27804276913291,0.8120359099842889,104.360986328125,1.50640783366102,1.4090527366067345,1.611404217538218,-35.082943558992085
CygOB2-C,MIST,3.1,2.6,2491.171622411992,69.80642667096501,54.25283131363207,45.91009580128715,0.8462248824560673,104.360986328125,2.2731598465799565,2.1152766560365572,2.4518166321765453,-58.450890526837846
CygOB2-A,MIST,3.5,2.0,1208.515259902707,57.619525698618666,129.28856336248938,102.19987796522204,0.7904788738249171,72.0868921875,0.7053520378178015,0.6666751934216543,0.7477381951167457,30.112985777722045
CygOB2-A,MIST,3.5,2.3,1728.8437028901453,57.619525698618666,82.06451343440266,67.01303071097819,0.8165896306025661,72.0868921875,1.0757145501806205,1.0140575510983412,1.142616599728499,-5.073861476521813
CygOB2-A,MIST,3.5,2.6,2410.356504015281,57.619525698618666,51.82186325891651,43.91795661743495,0.847479304208121,72.0868921875,1.6413990481260752,1.540493312171422,1.750510905361604,-28.168935570065045
CygOB2-B,MIST,3.5,2.0,1236.9322711063546,69.12996117060038,136.2488461290562,118.73149391129542,0.8714311884801712,90.622335546875,0.763254403373204,0.7136656816542551,0.8157132574017139,28.109158364420423
CygOB2-B,MIST,3.5,2.3,1785.4574813489853,69.12996117060038,86.42817121301599,78.85900945330543,0.9124225162527719,90.622335546875,1.1491690825832013,1.0690491968051388,1.2343004066292245,-11.76332609356956
CygOB2-B,MIST,3.5,2.6,2510.2629105929923,69.12996117060038,54.66860212120129,52.68270036877936,0.9636738150351979,90.622335546875,1.7201535781673654,1.5938107428573995,1.8641207975827971,-37.939635178095635
CygOB2-C,MIST,3.5,2.0,1375.9925701836091,119.99999999999999,160.86478699043042,126.07330802639483,0.7837222202886125,120.954698828125,0.9593997391010143,0.8973518364458287,1.0259975555624272,5.118609198269823
CygOB2-C,MIST,3.5,2.3,2044.563652726452,119.99999999999999,102.63974847789206,83.86881285795495,0.8171182617036494,120.954698828125,1.4421892322832903,1.3442141071360763,1.5509427803552247,-37.085885970170054
CygOB2-C,MIST,3.5,2.6,2935.761077811838,119.99999999999999,65.3379600178094,55.87816286143962,0.85521743939065,120.954698828125,2.1646148089738535,1.9993841151081555,2.355060450106505,-65.07653596668538
