version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement
repair_v2,CygOB2-C,MIST,3.5,2.3,0.03193227267199614,2.43631947957819,0.6227871720116619,0.63465,-0.46970535264046953,True,True
repair_v2,CygOB2-C,MIST,3.5,2.6,0.002586125136711614,2.5701487068355187,0.4684781341107872,0.4886,0.6785082791753644,False,False
repair_v2,CygOB2-C,PARSEC,3.0,2.0,0.2663493468807434,2.007150362912101,0.07239650145772594,0.12085,-1.5354578164813342,True,True
repair_v2,CygOB2-C,PARSEC,3.0,2.3,0.27418308250885975,1.6692313926536315,0.8717434402332361,0.79965,-0.2601110038277326,True,True
repair_v2,CygOB2-C,PARSEC,3.0,2.6,0.032530607508662074,2.9313025879735926,0.6227871720116619,0.3078,1.0098720900617155,True,True
repair_v2,CygOB2-C,PARSEC,3.1,2.0,0.46777362355967456,1.8050083880358572,0.5440932944606415,0.3562,-0.9272466719869965,True,True
repair_v2,CygOB2-C,PARSEC,3.1,2.3,0.28548091318495145,1.8922894200135305,0.7871720116618076,0.74055,0.3284994726990621,True,True
repair_v2,CygOB2-C,PARSEC,3.1,2.6,0.017144621763545538,3.1765169400880433,0.208,0.11105,1.5923046660293378,False,False
repair_v2,CygOB2-C,PARSEC,3.5,2.0,0.2773309613303708,1.8403689145713455,0.7871720116618076,0.47795,-0.6946949675549162,True,True
repair_v2,CygOB2-C,PARSEC,3.5,2.3,0.1388968784367986,1.9695883973278152,0.7871720116618076,0.67085,0.41939279226731047,True,True
repair_v2,CygOB2-C,PARSEC,3.5,2.6,0.0070102517198208135,2.6286231467588994,0.07239650145772594,0.1111,1.5746403692275608,False,False
repair_v3,CygOB2-A,MIST,3.0,2.0,0.007265585170321469,2.880151738910357,0.04156268221574335,0.0003,-3.4766795640835193,False,False
repair_v3,CygOB2-A,MIST,3.0,2.3,0.11727137596502704,2.1930282579294818,0.26570262390670546,0.04,-2.054040712801739,True,False
repair_v3,CygOB2-A,MIST,3.0,2.6,0.1884077325886515,1.6930842608548176,0.3287230320699708,0.4608,-0.7262983133415455,True,True
repair_v3,CygOB2-A,MIST,3.1,2.0,0.038160023553659383,2.3459105572308454,0.004804664723032055,0.00195,-3.065085319694555,False,False
