subgroup,family,R_V,f_bin,indicator,dmu,n_stars,measurable,grid_railed,exclusion_reason,age_map,age_lo68,age_hi68,age_lo90,age_hi90
CygOB2-C,MIST,3.1,0.3,ums,0.0,396,True,False,,3.570672345572628,3.538358198655942,3.579038170737992,3.5219986313451086,3.5887605930576627
CygOB2-C,MIST,3.1,0.3,pms,0.0,3,False,False,n_stars_below_15,1.7834050825119683,1.2333098732681307,2.4080186244728243,1.0881117682348438,2.9961825704285303
CygOB2-A,MIST,3.1,0.4,ums,0.0,337,True,False,,3.570672345572628,3.563503337364867,3.5944631277423147,3.555944126325662,3.6070170764692144
CygOB2-A,MIST,3.1,0.4,ums,0.0602,337,True,False,,3.570672345572628,3.562985812432276,3.5917784951642773,3.5555259605406127,3.6032035262204754
CygOB2-A,MIST,3.1,0.4,ums,-0.0602,337,True,False,,4.500388435263084,4.465961202402546,4.507486085025953,4.448836284105862,4.516451539116751
CygOB2-A,MIST,3.1,0.4,pms,0.0,37,True,False,,2.5234807724805743,2.3063173861150754,3.124682057093114,2.2164554235665164,3.4317452171029794
CygOB2-A,MIST,3.1,0.4,pms,0.0602,37,True,False,,2.5234807724805743,2.2739201687982242,2.698164803115957,2.1863919038086608,2.880446033753664
CygOB2-A,MIST,3.1,0.4,pms,-0.0602,37,True,False,,3.570672345572628,2.5246391851662704,3.5755389316880373,2.408050322593241,3.7148603288329016
CygOB2-B,MIST,3.1,0.4,ums,0.0,333,True,False,,3.570672345572628,3.559924661403215,3.61031145425653,3.548143156313304,3.6310579496603794
CygOB2-B,MIST,3.1,0.4,ums,0.0602,333,True,False,,3.570672345572628,3.5545047236687664,3.594065971843846,3.54258012757032,3.6081587444133025
CygOB2-B,MIST,3.1,0.4,ums,-0.0602,333,True,False,,4.008667176273027,3.630594936854411,3.9681184494419104,3.5775846851108617,4.0257667131687445
CygOB2-B,MIST,3.1,0.4,pms,0.0,31,True,False,,3.570672345572628,2.869436946185895,3.6297313669672486,2.49445084307041,3.755923804157758
CygOB2-B,MIST,3.1,0.4,pms,0.0602,31,True,False,,2.5234807724805743,2.4288347044047005,3.122634022013222,2.3091075122032394,3.451013084569033
CygOB2-B,MIST,3.1,0.4,pms,-0.0602,31,True,False,,3.570672345572628,3.4004748743639674,3.8116117982736686,3.196405171895476,4.111240798770626
CygOB2-C,MIST,3.1,0.4,ums,0.0,396,True,False,,3.570672345572628,3.5388748534782684,3.5792019773993404,3.5226998781111827,3.588908718813068
CygOB2-C,MIST,3.1,0.4,ums,0.0602,396,True,False,,3.570672345572628,3.525402974605948,3.576679394029652,3.5038341124877075,3.5868492134145473
CygOB2-C,MIST,3.1,0.4,ums,-0.0602,396,True,False,,3.570672345572628,3.546793689893053,3.5815281990320074,3.5337921505491785,3.5909124340958964
CygOB2-C,MIST,3.1,0.4,pms,0.0,3,False,False,n_stars_below_15,1.7834050825119683,1.3111460513302011,2.5529063813900295,1.1114803681339682,3.1477978469014056
CygOB2-C,MIST,3.1,0.4,pms,0.0602,3,False,False,n_stars_below_15,1.7834050825119683,1.2427801822757556,2.378709567585585,1.0886490323145641,2.9309172007228756
CygOB2-C,MIST,3.1,0.4,pms,-0.0602,3,False,False,n_stars_below_15,2.2477603184951818,1.3913739132535226,2.7356543491050433,1.1442649324637792,3.4066409353119136
CygOB2-A,MIST,3.1,0.5,ums,0.0,337,True,False,,3.570672345572628,3.563616920552871,3.5948449793681228,3.5560615058669076,3.607534201679737
CygOB2-A,MIST,3.1,0.5,pms,0.0,37,True,False,,3.570672345572628,2.496151500039738,3.533455293075559,2.320658000983088,3.6949005770886774
CygOB2-B,MIST,3.1,0.5,ums,0.0,333,True,False,,3.570672345572628,3.560387154463072,3.6121303870992234,3.548584667603525,3.633650590658501
CygOB2-B,MIST,3.1,0.5,pms,0.0,31,True,False,,3.570672345572628,3.1158087619159236,3.665027542876819,2.633683035173135,3.8034134513809965
CygOB2-C,MIST,3.1,0.5,ums,0.0,396,True,False,,3.570672345572628,3.5393630271168974,3.579350012290876,3.523379971412296,3.589040086546191
CygOB2-C,MIST,3.1,0.5,pms,0.0,3,False,False,n_stars_below_15,2.2477603184951818,1.3972185509286985,2.6681715148662257,1.144169540775555,3.264893387654684
CygOB2-A,PARSEC,3.5,0.3,ums,0.0,374,True,False,,4.466835921509632,4.430139587295821,4.501986216911358,4.40628590092788,4.5258932661657685
CygOB2-A,PARSEC,3.5,0.3,pms,0.0,11,False,False,n_stars_below_15,5.011872336272724,4.786825169289567,6.41373054325388,3.99181382649356,6.973531421280816
CygOB2-B,PARSEC,3.5,0.3,ums,0.0,351,True,False,,3.548133892335755,3.5096256757160673,3.582365796911838,3.485122876360392,3.6061781748232318
CygOB2-B,PARSEC,3.5,0.3,pms,0.0,19,True,False,,5.011872336272724,4.649584054749616,5.338771730526702,4.208313149662792,5.7452207195175875
CygOB2-C,PARSEC,3.5,0.3,ums,0.0,400,True,False,,3.1622776601683795,3.144669711585131,3.2165806259838914,3.1270481843137747,3.246109591919151
CygOB2-C,PARSEC,3.5,0.3,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.0,2.108031157619752,8.227733219044483,1.3484166533098862,9.449816412406822
CygOB2-A,PARSEC,3.5,0.4,ums,0.0,374,True,False,,4.466835921509632,4.432915457906419,4.5053504563461075,4.409846649088124,4.53029826200542
CygOB2-A,PARSEC,3.5,0.4,pms,0.0,11,False,False,n_stars_below_15,5.011872336272724,4.89158741694079,6.514751890954532,4.219456951190443,7.078617275636142
CygOB2-B,PARSEC,3.5,0.4,ums,0.0,351,True,False,,3.548133892335755,3.512466668905288,3.5857533342967916,3.4886771313663885,3.6107853640742626
CygOB2-B,PARSEC,3.5,0.4,pms,0.0,19,True,False,,5.011872336272724,4.714733507650664,5.417166975277389,4.32844956474852,5.898164635713587
CygOB2-C,PARSEC,3.5,0.4,ums,0.0,400,True,False,,3.1622776601683795,3.1468962996504612,3.222930896967469,3.1295746948844214,3.254940241558315
CygOB2-C,PARSEC,3.5,0.4,pms,0.0,1,False,True,n_stars_below_15;grid_railed,10.0,2.1571609272599845,8.279886273262697,1.3670156006442904,9.4660145953182
CygOB2-A,PARSEC,3.5,0.5,ums,0.0,374,True,False,,4.466835921509632,4.435294748843571,4.50860256818035,4.412666936567203,4.534722075199631
CygOB2-A,PARSEC,3.5,0.5,pms,0.0,11,False,False,n_stars_below_15,5.011872336272724,4.9495146354999555,6.591980395260189,4.491765865380552,7.163880049155335
