scope,subgroup,family,R_V,alpha,sf_duration_Myr,explodability,N_SN_mean,N_SN_median,P_at_least_one,P_last_SN_within_100kyr,t_last_median_Myr,N_SN_p2p5,N_SN_p16,N_SN_p50,N_SN_p84,N_SN_p97p5
subgroup,CygOB2-A,PARSEC,3.1,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,2.0,all_explode,4.3202645,4.0,0.981129,0.3159905,0.17963320120823134,1.0,2.0,4.0,7.0,9.0
subgroup,CygOB2-B,PARSEC,3.1,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,2.0,all_explode,0.339429,0.0,0.2869605,0.103847,0.14800405664504046,0.0,0.0,0.0,1.0,2.0
subgroup,CygOB2-C,PARSEC,3.1,2.3,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,0.0,all_explode,1.5360555,1.0,0.781845,0.1554785,0.30035207172847267,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.6,0.0,all_explode,1.5277795,1.0,0.766782,0.147089,0.3154418043921754,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-B,PARSEC,3.1,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,0.0,all_explode,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,0.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,1.0,all_explode,1.541307,1.0,0.7831565,0.150802,0.311131861538573,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-B,PARSEC,3.1,2.6,1.0,all_explode,1.5419295,1.0,0.7695835,0.1454425,0.3191863716250243,0.0,0.0,1.0,3.0,5.0
subgroup,CygOB2-B,PARSEC,3.1,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,1.0,all_explode,0.0020545,0.0,0.002046,0.002045,0.021843494433464894,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-C,PARSEC,3.1,2.6,1.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,2.0,all_explode,1.5885985,1.0,0.7935225,0.1511715,0.3319523030567817,0.0,0.0,1.0,3.0,4.0
subgroup,CygOB2-A,PARSEC,3.1,2.6,2.0,islands,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
