source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_g_observed,recovery_probability,lookback_Myr,implied_velocity_km_s,in_velocity_window,is_runaway_candidate,false_positive_rate_at_separation
2163451206852762880,314.9666057430754,45.71417601185343,86.67187255858973,-0.22150882539959327,0.5226648478269749,0.017149566,1.708777408794082,-1.5224785081245722,10.12475,2.7256727,-0.92282486,1.0,4.322033898305085,40.138929376323574,True,True,0.006244424620874219
2068151478876679168,308.0091642500309,42.2072369055121,80.80851444946272,1.4997775833207916,0.6537670802134287,0.011399339,-2.412822592247056,-3.8161181191804685,9.75022,1.6983747,-1.2973547,1.0,0.0847457627118644,4.468802785945688,False,False,0.20689655172413793
2060933150678201472,303.7325980456776,38.250354339351915,75.69387583266446,1.90682956529298,0.7769501068029827,0.010803452,-5.3799623380605714,-7.304099868636525,10.868816,1.7289791,-0.17875862,1.0,3.305084745762712,30.78269558911373,True,True,0.019555555555555555
2067978546312956288,308.7942516013776,42.33965389817194,81.26103800698658,1.1120550250415724,0.7629671724468692,0.011814857,-0.00888782731248261,-3.2580657504917703,10.062498,1.8458405,-0.9850769,1.0,0.5084745762711864,22.243120086431375,True,True,0.20689655172413793
2061039704533786496,305.0372085019696,37.8308824097588,75.9224643769111,0.8208211572223642,0.5815096535227655,0.016849605,-6.420182029323587,-8.530235076975977,8.249077,0.7102666,-2.7984982,1.0,2.11864406779661,43.120533396228595,True,True,0.019555555555555555
2163768793901085824,313.82532716056033,46.20954659904027,86.53067737421911,0.7030590663501606,0.7081250376110807,0.0141703915,4.146791775422898,1.5508288486882789,10.541831,2.2614403,-0.505744,1.0,2.4576271186440675,69.28579142949667,True,True,0.006244424620874219
2059854357975408640,300.9144550408422,36.03455174587067,72.61128307052932,2.589895211410436,0.4531858799860366,0.019637953,-6.190347706803225,-8.434911198591657,11.03063,2.3877497,-0.016944885,1.0,4.661016949152542,41.427481478049955,True,True,0.006244424620874219
2063994848182398848,308.49236745340767,38.55356722591795,78.08921707322575,-0.9682919227892398,0.8011014267372366,0.02142622,-1.944793279288282,-15.919843752203015,9.759877,3.0517263,-1.2876978,1.0,0.5932203389830508,89.30091190290732,True,True,0.08485499462943072
2057763847071953792,307.4489912964549,36.980336612321004,76.33268694238615,-1.2346875758820397,0.7990706313291381,0.02055821,-4.297300474242635,-9.815008559455707,7.674585,0.43210077,-3.3729901,1.0,2.2033898305084745,43.95516422792836,True,True,0.019555555555555555
2063561430145202944,310.4477004662586,38.918870077828686,79.30365463583689,-1.9611654478060743,0.5058093348700206,0.0221584,-1.9367857417351262,-5.566735554120284,10.737085,3.2412844,-0.31048965,1.0,4.661016949152542,11.294822217485155,True,True,0.08485499462943072
2063911938133211648,307.9216073352537,38.523611786383775,77.79985794297819,-0.6269782718947374,0.7275295277584214,0.070452556,-4.433340474942661,-8.609186084271546,10.822402,1.5863514,-0.225173,1.0,1.6101694915254237,35.516884643123966,True,True,0.08485499462943072
