version,subgroup,family,R_V,alpha,chi2_p,max_abs_residual,incumbent_trend_p,replacement_trend_p,replacement_T,gate_incumbent,gate_replacement,pi,pi_incumbent,replicate_trend_p_lo68,replicate_trend_p_hi68,replicate_max_abs_lo68,replicate_max_abs_hi68,indeterminate,indeterminate_incumbent
repair_v4,CygOB2-A,PARSEC,3.5,2.0,0.9179665204518497,1.0348415889994615,0.9571545189504373,0.8914,-0.13381035360861096,True,True,1.0,0.955,0.583646,0.935788,0.48447412585101596,0.9995639469054306,False,False
repair_v4,CygOB2-A,PARSEC,3.5,2.3,0.39502837359030096,1.7517490116036585,0.04156268221574335,0.15185,1.4124626529012922,False,True,0.9925,0.6975,0.128826,0.46212,0.8438939176998401,1.414527658851797,False,True
repair_v4,CygOB2-A,PARSEC,3.5,2.6,0.008481348171132401,3.0787330654749323,0.004804664723032055,0.0061,2.7449618207263926,False,False,0.355,0.3975,0.0061,0.127358,1.4325169871764514,2.3530160996200893,True,True
repair_v4,CygOB2-B,MIST,3.0,2.0,0.004699392311470627,3.3190752387464246,0.004804664723032055,0.0014,-3.301364859722197,False,False,0.0,0.06,0.0007,0.00475,2.3829488092586275,3.170648359224769,False,True
repair_v4,CygOB2-B,MIST,3.0,2.3,0.03658598371762504,3.084861324743817,0.07239650145772594,0.02505,-2.2565722312754315,False,False,0.27,0.5025,0.009642000000000001,0.07721599999999999,1.9100915293872118,2.851147712700697,True,True
repair_v4,CygOB2-B,MIST,3.0,2.6,0.04527397431897363,3.074788787189018,0.208,0.18755,-1.3066587821587656,False,False,0.8375,0.84,0.055902,0.4068059999999999,1.5613800760998624,2.6930302594558198,True,True
repair_v4,CygOB2-B,MIST,3.1,2.0,0.0005523604713936318,3.841433993129126,0.04156268221574335,0.00025,-3.442752641064109,False,False,0.0,0.035,0.00015,0.00305,2.874162020529254,3.605174186820321,False,False
repair_v4,CygOB2-B,MIST,3.1,2.3,0.004530972366891647,3.6567181228755157,0.07239650145772594,0.01585,-2.4366518689456536,False,False,0.195,0.4525,0.0063419999999999995,0.0632,2.421634496525595,3.282965317805942,True,True
repair_v4,CygOB2-B,MIST,3.1,2.6,0.005783461114702914,3.658375672966783,0.5440932944606415,0.1385,-1.4875243191983918,False,False,0.74,0.76,0.05695,0.34108399999999994,2.017943255565543,3.033746737413954,True,True
repair_v4,CygOB2-B,MIST,3.5,2.0,0.019918913393488905,3.1115956851810895,0.04156268221574335,0.02615,-2.215775850497653,False,False,0.4025,0.605,0.021202000000000002,0.09169,2.1730274316864286,2.8507718525472643,True,True
repair_v4,CygOB2-B,MIST,3.5,2.3,0.05900747741446358,3.002782372334382,0.07239650145772594,0.1861,-1.310944952091126,False,False,0.97,0.925,0.12488,0.466688,1.809451650987776,2.6278502178459577,False,True
repair_v4,CygOB2-B,MIST,3.5,2.6,0.03184759440413643,3.1094867704074556,0.8717434402332361,0.6684,-0.4324927355002162,False,False,0.9725,0.9575,0.403696,0.8958179999999999,1.3454223298905514,2.46572890986295,False,False
repair_v4,CygOB2-B,PARSEC,3.0,2.0,0.00023597055254130734,3.2202072856933226,0.04156268221574335,0.0001,-4.03335190891475,False,False,0.0,0.01,4.999750012499375e-05,0.0003659999999999968,2.381516962326273,3.0411206008265093,False,False
repair_v4,CygOB2-B,PARSEC,3.0,2.3,0.0028983519908535984,3.0962826154722967,0.07239650145772594,0.0017,-3.042515878193668,False,False,0.04,0.385,0.0006,0.014065999999999997,1.9301324880856199,2.8681179275435054,False,True
