family,R_V,alpha,chi2,max_abs_residual,bin2_residual,res_bin0,res_bin1,res_bin2,res_bin3,res_bin4,res_bin5
MIST,3.5,3.7,15.64773549383843,3.4508736348754794,3.4508736348754794,-1.2434461412829345,-0.864300162707604,3.4508736348754794,-0.32228742984291636,-1.066050708824758,0.45354191781068665
MIST,3.5,3.8,16.070821024856123,3.439418050087383,3.439418050087383,-1.4127848649629156,-0.9063836561969205,3.439418050087383,-0.2920498632073939,-0.9939791448070328,0.5919834725642854
MIST,3.5,3.9,16.63537196842897,3.4329042185994747,3.4329042185994747,-1.5845210260934566,-0.9460107190051881,3.4329042185994747,-0.25771693771027965,-0.9201538037418899,0.729243710444246
MIST,3.5,4.0,17.344652562033176,3.431331222456108,3.431331222456108,-1.7589523831857823,-0.9831178210087121,3.431331222456108,-0.21916266376357146,-0.8443786801868274,0.8655500209630838
PARSEC,3.0,1.8,28.012070260069116,2.973551253674859,1.8947595056744968,1.911203230192102,2.973551253674859,1.8947595056744968,-1.0229701167665455,-2.1323310600887444,-2.5167336412065247
PARSEC,3.0,1.9,24.68624575945931,2.836113041550544,1.7791497648528216,1.705805636964241,2.836113041550544,1.7791497648528216,-1.0537608049966056,-2.038298583732561,-2.3027133706864484
PARSEC,3.0,2.0,21.668335888929878,2.7042139092952064,1.6699769112780998,1.5042021042436586,2.7042139092952064,1.6699769112780998,-1.0804728672526156,-1.9427723138052793,-2.088619229762528
PARSEC,3.0,2.1,18.945613448385338,2.577740524480608,1.5670943316253552,1.3063279840172164,2.577740524480608,1.5670943316253552,-1.1032038625807916,-1.845905048886805,-1.874610780636342
PARSEC,3.0,2.2,16.50586112349615,2.4565738224106726,1.470351513733656,1.1121138401931796,2.4565738224106726,1.470351513733656,-1.1220538187950975,-1.7478460575880366,-1.6608446037350966
PARSEC,3.0,2.3,14.337353259826564,2.34058958646999,1.379594515750389,0.9214858137824011,2.34058958646999,1.379594515750389,-1.1371244965923597,-1.6487401329042037,-1.4474737883791347
PARSEC,3.0,2.4,12.428837857406057,2.229659034666548,1.2946664522102527,0.7343659982206461,2.229659034666548,1.2946664522102527,-1.1485186607781486,-1.5487267007719563,-1.2346474382895647
PARSEC,3.0,2.5,10.76951907254927,2.123649406610946,1.2154079908116187,0.5506728212679378,2.123649406610946,1.2154079908116187,-1.156339365779569,-1.4479389891630432,-1.0225101881880343
PARSEC,3.0,2.6,9.34904050095247,2.0224245454369423,1.1416578537255675,0.37032143014758084,2.0224245454369423,1.1416578537255675,-1.1606892618934859,-1.3465032628468856,-0.8112017275836353
PARSEC,3.0,2.7,8.157469499555992,1.92584546952498,1.0732533174898267,0.19322407685297188,1.92584546952498,1.0732533174898267,-1.1616699279222005,-1.2445381277474161,-0.6008563279451123
PARSEC,3.0,2.8,7.185282784328116,1.833770929325133,1.0100307058772735,0.01929050084700567,1.833770929325133,1.0100307058772735,-1.15938123501065,-1.1421539076305576,-0.3916023698111526
PARSEC,3.0,2.9,6.423353517068394,1.7460579450709675,0.9518258705637972,-0.15157169330085413,1.7460579450709675,0.9518258705637972,-1.1539207456457894,-1.0394520947105794,-0.18356186697781005
