family,R_V,alpha,sf_duration_Myr,explodability,yield_arm,in_headline_set,N_SN_mean,mean_progenitor_Msun,rate_now_per_Myr,M_al26_Msun,M_fe60_Msun,M_al26_steady_state_Msun,M_fe60_steady_state_Msun,saturation_al26,saturation_fe60,F_1809_ph_cm2_s,F_1173_ph_cm2_s,F_1332_ph_cm2_s,F_fe60_combined_ph_cm2_s
PARSEC,3.1,2.3,1.0,all_explode,LC06_Langer,True,8.4378,78.36,8.0224,0.0003580302305462293,0.0001398814104335538,0.0005951387715058923,0.0005841119117249109,0.6015911711487016,0.23947707215981473,1.572249681365193e-06,7.404682373448975e-08,7.410612049023308e-08,1.4815294422472282e-07
PARSEC,3.1,2.3,1.0,all_explode,LC18_REC,True,8.4378,78.36,8.0224,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.3,2.0,all_explode,LC06_NL,True,8.8584,75.73,9.0662,0.0011925774341868776,0.003802034224197775,0.0023427861589928175,0.018018776380527672,0.5090423765776285,0.21100401846967337,5.237070311194103e-06,2.012623100947365e-06,2.0142348111383136e-06,4.026857912085678e-06
PARSEC,3.1,2.3,2.0,all_explode,LC06_Langer,True,8.8584,75.73,9.0662,0.00036309839027764843,0.0001556478323875047,0.0006730832876253443,0.0007080632496386477,0.539455364519106,0.2198219332339842,1.59450593752176e-06,8.239284672445919e-08,8.24588269820964e-08,1.6485167370655558e-07
PARSEC,3.1,2.3,2.0,all_explode,LC18_REC,True,8.8584,75.73,9.0662,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.6,0.0,all_explode,LC06_NL,False,3.0635,78.93,3.3006,0.00047553713031978437,0.001492194543885916,0.0009003047338832647,0.0071864938756650495,0.5281957457545075,0.20763874146456793,2.0882680785975136e-06,7.898995729755925e-07,7.905321251861836e-07,1.5804316981617762e-06
PARSEC,3.1,2.6,0.0,all_explode,LC06_Langer,False,3.0635,78.93,3.3006,0.0001352827908644487,5.0116637814351335e-05,0.0002450148174822255,0.00023396101109674714,0.5521412633514,0.21420935727460672,5.940792332153629e-07,2.652945687995703e-08,2.655070169027131e-08,5.308015857022834e-08
PARSEC,3.1,2.6,0.0,all_explode,LC18_REC,False,3.0635,78.93,3.3006,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
PARSEC,3.1,2.6,1.0,all_explode,LC06_NL,False,3.086,77.61,3.2578,0.00045903675402602176,0.0014403079307238713,0.0008695975038060941,0.006851136225990004,0.5278726675466393,0.21022906029222088,2.0158085230714497e-06,7.624331720644107e-07,7.630437291591569e-07,1.5254769012235676e-06
PARSEC,3.1,2.6,1.0,all_explode,LC06_Langer,False,3.086,77.61,3.2578,0.00013438741934272474,5.155173506521208e-05,0.00024164597870568753,0.00023710664076525176,0.5561334811468216,0.21742003892776268,5.901473094010351e-07,2.7289131756318203e-08,2.731098491488182e-08,5.460011667120002e-08
