subgroup,family,R_V,alpha,turnoff_prior_mean_Msun,observed_living,predicted_observed_ctl,closure_ratio_ctl,predicted_observed_trt,closure_ratio_trt,ratio_reduction,ratio_reduction_fraction
CygOB2-C,MIST,3.1,2.3,69.80642667096501,104.360986328125,69.48840953388942,1.5018473876168983,69.64384177706563,1.498495540527347,0.003351847089551274,0.006679016713563162
CygOB2-C,MIST,3.1,2.6,69.80642667096501,104.360986328125,45.98991476848803,2.2692146061473553,46.12069656653384,2.262779925224537,0.006434680922818181,0.0050698131676489054
CygOB2-A,MIST,3.5,2.0,57.619525698618666,72.0868921875,102.14064938743991,0.7057610522335726,102.36523671638297,0.7042126262768941,0.0015484259566784786,
CygOB2-A,MIST,3.5,2.3,57.619525698618666,72.0868921875,66.97420293760266,1.0763381873265538,67.15935238325771,1.073370865402667,0.002967321923886823,0.038870741208373645
CygOB2-A,MIST,3.5,2.6,57.619525698618666,72.0868921875,43.89562306051551,1.6422341719154858,44.03753832889921,1.636941911900504,0.005292260014981842,0.008240389948727724
CygOB2-B,MIST,3.5,2.0,69.12996117060038,90.622335546875,119.76392092811182,0.7566747551733127,119.79998827919468,0.7564469483559466,0.0002278068173661163,
CygOB2-B,MIST,3.5,2.3,69.12996117060038,90.622335546875,79.54774866475293,1.1392193628105673,79.62215428493997,1.1381547806728414,0.0010645821377259779,0.007646796510443241
CygOB2-B,MIST,3.5,2.6,69.12996117060038,90.622335546875,53.12888007619498,1.705707619225337,53.2059488041031,1.7032369045900078,0.0024707146353293297,0.003501045713579598
CygOB2-C,MIST,3.5,2.0,119.99999999999999,120.954698828125,127.34014073708916,0.9498552312569863,127.29073613144844,0.9502238929879355,-0.0003686617309491824,
CygOB2-C,MIST,3.5,2.3,119.99999999999999,120.954698828125,84.68852968214013,1.4282300009470232,84.71709590810399,1.4277484081764251,0.000481592770598116,0.0011246124034586132
CygOB2-C,MIST,3.5,2.6,119.99999999999999,120.954698828125,56.40879899537904,2.144252332655292,56.46670621714176,2.1420533785518807,0.0021989541034113103,0.0019217387989138135
