subgroup,family,R_V,alpha,k_median_floor8,turnoff_prior_mean_Msun_floor8,predicted_true_living_floor8,predicted_observed_living_floor8,effective_completeness_floor8,observed_living_floor8,closure_ratio_floor8,closure_ratio_lo68_floor8,closure_ratio_hi68_floor8,shortfall_floor8,k_median_fixed,turnoff_prior_mean_Msun_fixed,predicted_true_living_fixed,predicted_observed_living_fixed,effective_completeness_fixed,observed_living_fixed,closure_ratio_fixed,closure_ratio_lo68_fixed,closure_ratio_hi68_fixed,shortfall_fixed,ratio_change,ratio_change_fraction
CygOB2-C,PARSEC,3.5,2.3,2030.7743873232591,120.0,101.9475094611262,67.803026951447,0.6650778161216494,124.055012109375,1.8296382578643493,1.7020056825536396,1.961732342519651,-56.251985157928,2030.7743873232591,120.0,101.9475094611262,83.02698101124044,0.8144091155350844,124.055012109375,1.494152992177086,1.3899233208308155,1.6020261036996837,-41.02803109813456,-0.33548526568726333,-0.18336152747421203
CygOB2-C,PARSEC,3.5,2.6,2917.0396507157875,120.0,64.92129809517441,42.72301836921667,0.658074000716758,124.055012109375,2.9037042991035644,2.676966423308367,3.1483703974854502,-81.33199374015834,2917.0396507157875,120.0,64.92129809517441,55.20575206294664,0.8503488636658988,124.055012109375,2.2471392467930724,2.0716697337330894,2.436483179714687,-68.84926004642836,-0.656565052310492,-0.22611291807956743
CygOB2-A,MIST,3.0,2.0,1127.0621682256156,57.565220361889864,120.57460371814686,80.56665418561728,0.6681892513115657,64.4287296875,0.7996947414380996,0.7564482402207189,0.847579240207211,16.137924498117286,1127.0621682256156,57.565220361889864,120.57460371814686,94.9528197239442,0.7875026481190376,64.4287296875,0.678534138057335,0.6418398522167642,0.719163725092229,30.524090036444207,-0.12116060338076462,-0.15150856583460862
CygOB2-A,MIST,3.0,2.3,1600.1564839298449,57.565220361889864,75.9560063486846,50.260344935819006,0.6617033642486841,64.4287296875,1.281899870957384,1.2105414202665612,1.3592720542085313,-14.168384751680987,1600.1564839298449,57.565220361889864,75.9560063486846,61.86502653669388,0.8144849829609987,64.4287296875,1.041440265919639,0.9834672794588776,1.1042989251062396,-2.5637031508061128,-0.240459605037745,-0.1875806453261894
CygOB2-A,MIST,3.0,2.6,2218.290181800863,57.565220361889864,47.69250120402628,31.21428584375326,0.6544904346748351,64.4287296875,2.064078288063533,1.9427704250125233,2.1973905984424498,-33.214443843746736,2218.290181800863,57.565220361889864,47.69250120402628,40.37512827642098,0.8465718353436336,64.4287296875,1.595752940929386,1.5019690082457486,1.6988175933601954,-24.053601411079015,-0.46832534713414686,-0.22689320935278967
CygOB2-B,MIST,3.0,2.0,1104.2035516214094,61.286176831965314,119.4816016343589,83.70863643110044,0.7005985464378698,74.82004062499999,0.8938150687304941,0.8396432307290017,0.9519216783641452,8.888595806100454,1104.2035516214094,61.286176831965314,119.4816016343589,104.15603489391314,0.8717328314082573,74.82004062499999,0.7183457079679255,0.6748086177101204,0.7650451149204018,29.33599426891315,-0.17546936076256858,-0.19631506214343836
CygOB2-B,MIST,3.0,2.3,1575.1118604428875,61.286176831965314,75.34758300159355,51.959096951488895,0.6895920861906081,74.82004062499999,1.4399796188693386,1.3508226714027465,1.5390868481733733,-22.860943673511095,1575.1118604428875,61.286176831965314,75.34758300159355,68.73525857073825,0.912242381673803,74.82004062499999,1.088524902368697,1.0211284224013164,1.1634431065491933,-6.084782054261737,-0.35145471650064164,-0.24406922979687817
CygOB2-B,MIST,3.0,2.6,2181.3385412648468,61.286176831965314,47.14010883893998,31.982554490335932,0.6784573747932634,74.82004062499999,2.3394016462196014,2.183113861261742,2.5108605272533686,-42.83748613466406,2181.3385412648468,61.286176831965314,47.14010883893998,45.382210743386175,0.9627090785564394,74.82004062499999,1.6486645185284186,1.5385226255551434,1.7694980547464318,-29.437829881613816,-0.6907371276911829,-0.2952623072687805
CygOB2-C,MIST,3.0,2.0,1205.8462061416956,72.06599543130731,133.3800082230372,88.78754992900042,0.6656735976543834,99.988748046875,1.1261573061406889,1.0551454696149245,1.1998007836012898,-11.201198117874585,1205.8462061416956,72.06599543130731,133.3800082230372,104.31136229919208,0.7820614475054108,99.988748046875,0.9585604659258624,0.8981167439562747,1.021244183095847,4.322614252317081,-0.16759684021482646,-0.14882187355261794
CygOB2-C,MIST,3.0,2.3,1765.893781296429,72.06599543130731,85.70941940250614,56.62582390619718,0.6606721209984238,99.988748046875,1.765780012534743,1.6504800824995431,1.891277392294073,-43.36292414067782,1765.893781296429,72.06599543130731,85.70941940250614,69.55820593733444,0.8115584777290016,99.988748046875,1.4374831365972218,1.3436199691019008,1.5396478263154014,-30.430542109540568,-0.3282968759375211,-0.18592173068391307
CygOB2-C,MIST,3.0,2.6,2519.6111466560765,72.06599543130731,54.96364726871062,35.96099859512191,0.654268782770418,99.988748046875,2.7804775160064223,2.5776236255132696,2.995644740698002,-64.0277494517531,2519.6111466560765,72.06599543130731,54.96364726871062,46.48173074527935,0.8456813376673457,99.988748046875,2.151140812609044,1.9942011213782016,2.317606822819647,-53.50701730159565,-0.6293367033973785,-0.22634123087651856
CygOB2-A,MIST,3.1,2.0,1154.446277735877,57.60146123585662,123.5041920278781,83.06341096712544,0.6725553975396711,65.759646484375,0.7916800636853347,0.7476333197538971,0.8396146900515886,17.303764482750438,1154.446277735877,57.60146123585662,123.5041920278781,97.40866580994783,0.7887073645885653,65.759646484375,0.675090310883401,0.6375302769529589,0.7159656635669517,31.649019325572837,-0.11658975280193373,-0.1472687745339942
CygOB2-A,MIST,3.1,2.3,1642.8157690781372,57.60146123585662,77.9809513875575,51.98210681188391,0.6666000592059728,65.759646484375,1.2650438875505778,1.1933458801465588,1.3440535692718942,-13.777539672491088,1642.8157690781372,57.60146123585662,77.9809513875575,63.56488909153919,0.8151335417239023,65.759646484375,1.0345278254112134,0.9758946155945843,1.0991403776095794,-2.194757392835804,-0.23051606213936449,-0.18221981419608907
CygOB2-A,MIST,3.1,2.6,2279.8558785141,57.60146123585662,49.01614320934727,32.348304789776684,0.6599520621526161,65.759646484375,2.032862213699606,1.9086744754488307,2.1712276982579275,-33.41134169459831,2279.8558785141,57.60146123585662,49.01614320934727,41.48865794042369,0.846428446302399,65.759646484375,1.5850029803037644,1.488175003514114,1.6928852085817907,-24.270988543951304,-0.44785923339584177,-0.22030968472810694
CygOB2-B,MIST,3.1,2.0,1129.735216078593,61.88780538104223,122.55810451092267,85.99132777252765,0.7016372202856963,78.4266015625,0.9120291963622356,0.856034434797001,0.973891687533892,7.564726210027658,1129.735216078593,61.88780538104223,122.55810451092267,106.78379189975716,0.8712911506414519,78.4266015625,0.7344429352735727,0.6893512241661347,0.7842598378252332,28.35719033725715,-0.17758626108866282,-0.19471554397270624
CygOB2-B,MIST,3.1,2.3,1611.6774792636425,61.88780538104223,77.22807686815081,53.386899884693,0.6912887391439109,78.4266015625,1.4690233321636703,1.3740600438924189,1.5708076866093037,-25.039701677806995,1611.6774792636425,61.88780538104223,77.22807686815081,70.44454175617473,0.9121623198832542,78.4266015625,1.1133098407248223,1.0413412334023937,1.1904478418410096,-7.9820598063252675,-0.355713491438848,-0.24214284664555377
