source_id,subgroup,mass_PARSEC_rv3.1,J,H,Ks,jks_obs,jks_intrinsic,av_wp3,av_nir,delta_av,av_nir_fixed,delta_av_fixed
2067772357820098304,CygOB2-C,9.05191597298066,11.383,10.898,10.642,0.7410002,-0.20034756803375436,6.101629491213626,5.5181037084461915,0.5835257827674347,5.065144,1.0364854291713899
2067772387881326592,CygOB2-C,3.022140232884139,14.211,13.509,13.204,1.007,-0.0706100258176138,6.570594132207588,6.316861916673544,0.25373221553404424,6.6244125,-0.05381840441350594
2067772490960546048,CygOB2-C,13.212206966521784,10.558,9.988,9.65,0.908,-0.1972792677407551,6.700356141691211,6.479056890654226,0.2212992510369851,6.044083,0.6562730232524903
2067773010655135104,CygOB2-C,3.3824368036922356,13.293,12.582,12.176,1.1170006,-0.1071374534903528,6.778986960847655,7.175797326661915,-0.3968103658142592,7.2692275,-0.4902405438825692
2067773079374599680,CygOB2-B,4.840295342977172,12.839,12.238,11.93,0.90899944,-0.14080590381397276,6.582496768088299,6.153873334949378,0.42862343313892026,6.0499415,0.5325552283238943
2067773251173327872,CygOB2-C,9.202334261547286,11.353,10.717,10.372,0.98099995,-0.19956789154920607,6.719591707580213,6.920392395526708,-0.20080068794649453,6.4720025,0.2475892013241099
2067773251173652480,CygOB2-C,10.564570903446642,11.079,10.496,10.136,0.9430008,-0.17630628728966005,6.6911864706543245,6.561286831292978,0.12989963936134608,6.2492547,0.44193176713259597
2067773285533060480,CygOB2-C,3.218602816381594,13.93,13.287,12.968,0.9619999,-0.09654233552043967,6.572486055708903,6.205088223834024,0.36739783187487873,6.3606257,0.21186031184293608
2067774178886267264,CygOB2-C,3.32576522865462,13.656,12.839,12.546,1.1100006,-0.10695068212130437,6.641831595904293,7.1336692378471716,-0.4918376419428787,7.228194,-0.5863626408510783
2067774178886269184,CygOB2-B,3.4276279417526485,13.193,12.395,12.018,1.1750002,-0.1069669743917193,6.66464742361963,7.514786981499135,-0.8501395578795057,7.609216,-0.9445687896066888
2067774453764187520,CygOB2-B,3.2175683381522404,13.395,12.648,12.268,1.1270008,-0.10104280065026301,6.574854488360868,7.198691494930936,-0.623837006570068,7.327848,-0.7529934692502156
2067774659922577024,CygOB2-C,12.14705762956164,10.743,10.133,9.827,0.91600037,-0.20318468134381465,6.69528437448791,6.560571482673263,0.1347128918146474,6.0909805,0.6043038447027538
2067774728642046080,CygOB2-B,3.085715918580001,13.579,12.701,12.506,1.0730009,-0.09371701541734564,6.654389187776338,6.839205324221982,-0.18481613644564465,7.011305,-0.356915667570342
2067774866081012992,CygOB2-C,4.806922456772632,12.863,12.192,11.853,1.0100002,-0.14110383409009528,6.660951263078335,6.747678148151392,-0.08672688507305715,6.642,0.018951064714077148
2067774969160233856,CygOB2-C,7.368080238211771,11.85,10.984,10.589,1.2610006,-0.179785043096753,6.8317421272515455,8.445768143051357,-1.6140260157998112,8.113344,-1.2816020652533373
2067775450196580352,CygOB2-C,4.978775133279675,12.733,12.049,11.678,1.0549994,-0.14368162669562617,6.6795714597070734,7.026570145450416,-0.34699868574334225,6.9057813,-0.22620980936641288
2067776171751116416,CygOB2-A,8.985450115186278,11.148,10.405,9.991,1.1569996,-0.1988254013822352,6.867436370203916,7.94773552448216,-1.0802991542782436,7.5036983,-0.6362619787951074
2067776343549782272,CygOB2-C,5.197815695926988,12.564,11.922,11.634,0.9300003,-0.14795631769088868,6.716339868193126,6.318893819202743,0.3974460489903828,6.173047,0.5432928024582626
2067776373615367296,CygOB2-C,2.9129571419203817,13.105,12.37,11.961,1.1439991,-0.058951578245288946,6.853866147905838,7.051598777377821,-0.19773262947198322,7.42749,-0.5736240864691622
2067776446629008000,CygOB2-C,7.207697452311061,11.776,11.04,10.64,1.1359997,-0.17770006688004375,6.858467539247844,7.700800785496227,-0.8423332462483835,7.3805985,-0.5221310058266191
2067776755866527488,CygOB2-C,6.275961437345876,12.021,11.225,10.797,1.224,-0.16474026626873142,6.836060517070124,8.14068205920829,-1.3046215421381655,7.896449,-1.0603885719801687
2067777065104189568,CygOB2-C,7.756689109860094,11.755,11.256,10.969,0.78600025,-0.18483695842818124,6.387448166120428,5.690968557398271,0.6964796087221563,5.328931,1.0585173113230644
2067777202543144704,CygOB2-C,6.704976065635116,12.055,11.549,11.267,0.7880001,-0.17109541969317832,6.243294655522247,5.6221397650851115,0.6211548904371353,5.340654,0.9026407591904597
2067777236902892160,CygOB2-C,3.1543214787372404,13.563,12.731,12.382,1.1809998,-0.08234471689045232,6.6107611846406815,7.405622277409788,-0.7948610927691062,7.6443853,-1.0336241531889083
2067777271262627584,CygOB2-C,5.440344468298674,12.56,12.016,11.672,0.8880005,-0.1526051733240129,6.465403612495368,6.099945530144196,0.3654580823511724,5.9268475,0.5385561546096262
2067777305622343296,CygOB2-C,5.648180350834618,12.284,11.537,10.953,1.3310003,-0.15572271108873784,6.487792098043722,8.715049217829527,-2.227257119785805,8.523676,-2.0358838205353793
2067777683579867264,CygOB2-B,3.607050844874556,13.253,12.614,12.224,1.0290003,-0.11314101400192977,6.494896235087171,6.695139140745153,-0.20024290565798175,6.753377,-0.2584807256672237
2067777683579869952,CygOB2-C,3.828282644214718,13.164,12.532,12.211,0.9529991,-0.11784847441446185,6.334630548199264,6.27722124476843,0.05740930343083406,6.307864,0.02676635905131519
2067777717939603840,CygOB2-C,12.33956768489466,10.713,10.165,9.887,0.8260002,-0.2021173648089015,6.494180684495141,6.026741404946936,0.46743927954820474,5.5634074,0.9307732633830801
2067777786659083136,CygOB2-C,2.7597957259404957,12.511,10.966,9.678,2.8329992,0.05475639406104606,6.789575737169613,16.285832943795416,-9.496257206625803,17.328272,-10.538696128675113
2067777821018822912,CygOB2-C,3.1967537338354566,13.913,13.33,13.017,0.8959999,-0.09197190205322381,6.447629753385976,5.79141018709642,0.6562195662895558,5.9737396,0.4738901293625384
2067778130256122624,CygOB2-C,3.2986133725814195,13.633,12.962,12.643,0.9900007,-0.10562716765688634,6.586057241621359,6.422481360458918,0.1635758811624406,6.5247645,0.06129270381007945
